省份,确诊人数,城市,城市确诊人数,经纬度
湖北省,2714,武汉,1590,"114.298572,30.584355"
湖北省,2714,黄冈,213,"114.879365,30.447711"
湖北省,2714,孝感,173,"113.926655,30.926423"
湖北省,2714,荆门,114,"112.204251,31.03542"
湖北省,2714,咸宁,91,"114.328963,29.832798"
湖北省,2714,荆州,71,"112.23813,30.326857"
湖北省,2714,随州,70,"113.37377,31.717497"
湖北省,2714,襄阳,70,"112.144146,32.042426"
湖北省,2714,十堰,65,"110.787916,32.646907"
湖北省,2714,鄂州,57,"114.890593,30.396536"
湖北省,2714,黄石,53,"115.077048,30.220074"
湖北省,2714,宜昌,51,"111.290843,30.702636"
湖北省,2714,恩施州,38,"109.48699,30.283114"
湖北省,2714,仙桃,27,"113.453974,30.364953"
湖北省,2714,天门,23,"113.165862,30.653061"
湖北省,2714,潜江,7,"112.896866,30.421215"
湖北省,2714,神农架林区,1,"110.671525,31.744449"
广东省,188,广州,51,"113.280637,23.125178"
广东省,188,深圳,49,"114.085947,22.547"
广东省,188,佛山,18,"113.122717,23.028762"
广东省,188,珠海,12,"113.553986,22.224979"
广东省,188,惠州,11,"114.412599,23.079404"
广东省,188,阳江,8,"111.975107,21.859222"
广东省,188,中山,6,"113.392782,22.517645"
广东省,188,湛江,5,"110.364977,21.274898"
广东省,188,清远,5,"113.051227,23.685022"
广东省,188,汕头,5,"116.708463,23.37102"
广东省,188,韶关,4,"113.591544,24.801322"
广东省,188,肇庆,4,"112.472529,23.051546"
广东省,188,揭阳,4,"116.355733,23.543778"
广东省,188,梅州,3,"116.117582,24.299112"
广东省,188,东莞,2,"113.746262,23.046237"
广东省,188,汕尾,1,"115.364238,22.774485"
浙江省,173,温州,60,"120.672111,28.000575"
浙江省,173,杭州,32,"120.153576,30.287459"
浙江省,173,台州,22,"121.428599,28.661378"
浙江省,173,宁波,17,"121.549792,29.868388"
浙江省,173,嘉兴,11,"120.750865,30.762653"
浙江省,173,绍兴,7,"120.582112,29.997117"
浙江省,173,金华,7,"119.649506,29.089524"
浙江省,173,衢州,5,"118.87263,28.941708"
浙江省,173,丽水,5,"119.921786,28.451993"
浙江省,173,舟山,4,"122.106863,30.016028"
浙江省,173,湖州,3,"120.102398,30.867198"
河南省,168,郑州,37,"113.665412,34.757975"
河南省,168,信阳,29,"114.075031,32.123274"
河南省,168,南阳,26,"112.540918,32.999082"
河南省,168,周口,15,"114.649653,33.620357"
河南省,168,安阳,11,"114.352482,36.103442"
河南省,168,驻马店,10,"114.024736,32.980169"
河南省,168,漯河,9,"114.026405,33.575855"
河南省,168,商丘,7,"115.650497,34.437054"
河南省,168,新乡,6,"113.883991,35.302616"
河南省,168,平顶山,5,"113.307718,33.735241"
河南省,168,三门峡,3,"111.194099,34.777338"
河南省,168,洛阳,2,"112.434468,34.663041"
河南省,168,开封,2,"114.341447,34.797049"
河南省,168,鹤壁,2,"114.295444,35.748236"
河南省,168,许昌,2,"113.826063,34.022956"
河南省,168,焦作,2,"113.238266,35.23904"
湖南省,143,长沙,24,"112.982279,28.19409"
湖南省,143,常德,19,"111.691347,29.040225"
